Brand,Names,Prices,Url
Bestrunner,32GB Flash Memory Stick Drive OTG For Phone / PC,"₦ 1,969 ",https://www.jumia.com.ng/bestrunner-32gb-flash-memory-stick-drive-otg-for-phone-pc-36891779.html
SanDisk,Sandisk Ultra Dual M3.0 OTG Flash Drive 64GB,"₦ 4,100 ",https://www.jumia.com.ng/sandisk-sandisk-ultra-dual-m3.0-otg-flash-drive-64gb-29544401.html
Hp,DeskJet 2630 All-in-One Wireless Printer - V1N03C,"₦ 12,700 ",https://www.jumia.com.ng/hp-deskjet-2630-all-in-one-wireless-printer-v1n03c-41744769.html
Bestrunner,32GB  Flash Memory Stick Drive OTG For Phone / PC,"₦ 2,000 ",https://www.jumia.com.ng/bestrunner-32gb-flash-memory-stick-drive-otg-for-phone-pc-36891768.html
DELL,Alienware Area-51m Core I9 1TB 512gb Ssd Gb 8gb Nvidia 32gb Windows 10 9th Gen,"₦ 900,000 ",https://www.jumia.com.ng/dell-alienware-area-51m-core-i9-1tb-512gb-ssd-gb-8gb-nvidia-32gb-windows-10-9th-gen-44488949.html
Hp,"Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour","₦ 122,000 ",https://www.jumia.com.ng/hp-notebook-15-intel-core-i3-8gb-ram-1tb-hdd-32gb-flashmouseusb-light-for-keyboard-15.6-inch-windows-10-black-colour-42160459.html
Hp,"DeskJet 2620 All-in-One Printer (Print, Scan & Copy) - White","₦ 11,990 ",https://www.jumia.com.ng/hp-deskjet-2620-all-in-one-printer-print-scan-copy-white-21473164.html
DELL,Inspiron 11 X360 AMD A9-Radeon R5 Graphics 1.8GHz  4GB DDR4 500B HDD 11.6-inch Touchscreen Windows 10 + Free Mouse,"₦ 122,500 ",https://www.jumia.com.ng/dell-inspiron-11-x360-amd-a9-radeon-r5-graphics-1.8ghz-4gb-ddr4-500b-hdd-11.6-inch-touchscreen-windows-10-free-mouse-40379549.html
Apple,"16"" MacBook Pro 512GB 16GB CORE I7 6-CORE 2.6GHZ (Late 2019, Space Gray)","₦ 800,000 ",https://www.jumia.com.ng/apple-16-macbook-pro-512gb-16gb-core-i7-6-core-2.6ghz-late-2019-space-gray-45110713.html
DELL,Alienware 15 R5 Core I9 1TB 512gb 16gb 8gb Nvidia 1080 Eye-Tracking Windows 10 8th Gen,"₦ 725,000 ",https://www.jumia.com.ng/dell-alienware-15-r5-core-i9-1tb-512gb-16gb-8gb-nvidia-1080-eye-tracking-windows-10-8th-gen-43476274.html
DELL,"XPS 15 9570:Intel Core I9-8950HK, 2TB SSD/32GB,4GB NVIDIA,4K Display,Win10Pro-SILVER","₦ 785,000 ",https://www.jumia.com.ng/dell-xps-15-9570intel-core-i9-8950hk-2tb-ssd32gb4gb-nvidia4k-displaywin10pro-silver-40050514.html
Apple,MacBook Pro 16inch  CoreI7/512GB/16gb - Touch Bar - New 2019,"₦ 800,000 ",https://www.jumia.com.ng/apple-macbook-pro-16inch-corei7512gb16gb-touch-bar-new-2019-44684254.html
Microsoft,Office 365 Lifetime Account Subscription / 5 Devices / 5TB OneDrive,"₦ 2,360 ",https://www.jumia.com.ng/microsoft-office-365-lifetime-account-subscription-5-devices-5tb-onedrive-44278878.html
Apple,"MacBook Pro 512gb 16gb 15.4’’ Core I9 Touch Bar (Mid 2019, Space Gray)","₦ 795,000 ",https://www.jumia.com.ng/apple-macbook-pro-512gb-16gb-15.4-core-i9-touch-bar-mid-2019-space-gray-37449948.html
