Brand,Names,Prices,Url
Hp,"PAVILION 15 GAMING 8Th Intel Core I5,,1TB HDD,8GB RAM,Nvidia Geforce GTX 1050 4GB,15.6'' ,Windows 10,2.3GHZ","₦ 280,000 ",https://www.jumia.com.ng/hp-pavilion-15-gaming-8th-intel-core-i51tb-hdd8gb-ramnvidia-geforce-gtx-1050-4gb15.6-windows-102.3ghz-25434152.html
Hp,Gaming Pavilion 15 CX0045NR Intel Core I7 Laptop 15.6 Inch 16 GB RAM 1 TB Hard Drive,"₦ 320,000 ",https://www.jumia.com.ng/hp-gaming-pavilion-15-cx0045nr-intel-core-i7-laptop-15.6-inch-16-gb-ram-1-tb-hard-drive-32410789.html
DELL,"XPS 15-9560 :Intel Core I7-7700HQ,2.8GHz,512ssd/16gb,Nvidia1050(4GB),Fingerprint,Touch,""15""3840 X 216 Window 10","₦ 388,000 ",https://www.jumia.com.ng/dell-xps-15-9560-intel-core-i7-7700hq2.8ghz512ssd16gbnvidia10504gbfingerprinttouch153840-x-216-window-10-38913032.html
DELL,"Gaming Intel Core I7-8750H, Nvidia Geforce GTX 1050Ti 4GB, 8GB RAM, 2TB + 128GB SSD Storage, G5587-7037Red","₦ 312,000 ",https://www.jumia.com.ng/gaming-intel-core-i7-8750h-nvidia-geforce-gtx-1050ti-4gb-8gb-ram-2tb-128gb-ssd-storage-g5587-7037red-dell-mpg1190811.html
Hp,LaserJet Pro MFP M130a - G3Q57A- White,"₦ 39,999 ",https://www.jumia.com.ng/hp-laserjet-pro-mfp-m130a-g3q57a-white-8283176.html
Lenovo,Ideapad S Series Intel Celeron 1TB HDD 4GB DDR4 Windows 10,"₦ 79,990 ",https://www.jumia.com.ng/lenovo-ideapad-s-series-intel-celeron-1tb-hdd-4gb-ddr4-windows-10-44487500.html
DELL,Alienware Alpha R2 USFF Core I7 16GB 1TB Gaming PC,"₦ 397,500 ",https://www.jumia.com.ng/dell-alienware-alpha-r2-usff-core-i7-16gb-1tb-gaming-pc-45141499.html
Microsoft,"Microsoft Lifecam HD 3000 WebCam (Approved For WAEC,NECO & JAMB Reg)","₦ 21,500 ",https://www.jumia.com.ng/microsoft-microsoft-lifecam-hd-3000-webcam-approved-for-waecneco-jamb-reg-45140745.html
Apple,"Macbook Air 13.3"" Intel Core I5 1.8GHz (128GB,8GB) MQD32 - Silver (US Keyboard)","₦ 320,000 ",https://www.jumia.com.ng/macbook-air-13.3-intel-core-i5-1.8ghz-128gb8gb-mqd32-silver-us-keyboard-apple-mpg124517.html
Apple,"MacBook Air 13 Inch 2017YR (1.8GHz Intel Core I5 Dual Core Processor, 8GB RAM, 128GB SSD)  Silver","₦ 335,000 ",https://www.jumia.com.ng/apple-macbook-air-13-inch-2017yr-1.8ghz-intel-core-i5-dual-core-processor-8gb-ram-128gb-ssd-silver-25536651.html
